routeId,serviceId,inOutLoop,nTrips,headSign,shapeId,idPrefix,idSuffix
//VINEYBOAT,SSMAYJUNE,OUT,10,Vineyard Haven,SH_WH_VH,SSMJ,WHVH
//VINEYBOAT,SSMAYJUNE,IN,10,Woods Hole,SH_WH_VH,SSMJ,VHWH
//OAKBLBOAT,SSMAYJUNE,OUT,4,Oak Bluffs,SH_WH_OB,SSMJ,WHOB
//OAKBLBOAT,SSMAYJUNE,IN,4,Woods Hole,SH_WH_OB,SSMJ,OBWH
//HYANNISOBTRAD,HYTRADSPRG,OUT,1,Oak Bluffs,SH_HY_OB,HYTSPRING,HYOB
//HYANNISOBTRAD,HYTRADSPRG,IN,1,Hyannis,SH_HY_OB,HYTSPRING,OBHY
//HYANNISOBTRAD,HYTRADSUMM,OUT,1,Oak Bluffs,SH_HY_OB,HYTSUMMER,HYOB
//HYANNISOBTRAD,HYTRADSUMM,IN,1,Hyannis,SH_HY_OB,HYTSUMMER,OBHY
//HYANNISOBTRAD,HYTRADFALL,OUT,1,Oak Bluffs,SH_HY_OB,HYTFALL,HYOB
//HYANNISOBTRAD,HYTRADFALL,IN,1,Hyannis,SH_HY_OB,HYTFALL,OBHY
