shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SH_FAL_OB,41.55072,-70.60053,1
SH_FAL_OB,41.55055,-70.601,2
SH_FAL_OB,41.54583,-70.6039,3
SH_FAL_OB,41.54348,-70.60701,4
SH_FAL_OB,41.54266,-70.60778,5
SH_FAL_OB,41.54136,-70.6078,6
SH_FAL_OB,41.511,-70.58945,7
SH_FAL_OB,41.47802,-70.56289,8
SH_FAL_OB,41.46953,-70.55703,9
SH_FAL_OB,41.46512,-70.55465,10
SH_FAL_OB,41.4602,-70.55321,11
SH_FAL_OB,41.45914,-70.55407,12
SH_WH_VH,41.52236,-70.67067,1
SH_WH_VH,41.52149,-70.67217,2
SH_WH_VH,41.5178,-70.67116,3
SH_WH_VH,41.5137,-70.66792,4
SH_WH_VH,41.50872,-70.66142,5
SH_WH_VH,41.50519,-70.65565,6
SH_WH_VH,41.50037,-70.64587,7
SH_WH_VH,41.4951,-70.62913,8
SH_WH_VH,41.48777,-70.60085,9
SH_WH_VH,41.48157,-70.59342,10
SH_WH_VH,41.477,-70.59162,11
SH_WH_VH,41.47092,-70.59102,12
SH_WH_VH,41.46124,-70.59308,13
SH_WH_VH,41.45803,-70.59488,14
SH_WH_VH,41.45693,-70.59626,15
SH_WH_VH,41.45584,-70.59978,16
SH_HY_OB,41.65081,-70.27689,1
SH_HY_OB,41.65047,-70.27673,2
SH_HY_OB,41.6501,-70.27628,3
SH_HY_OB,41.64914,-70.27559,4
SH_HY_OB,41.64756,-70.27513,5
SH_HY_OB,41.64703,-70.27465,6
SH_HY_OB,41.64588,-70.27296,7
SH_HY_OB,41.64403,-70.27065,8
SH_HY_OB,41.64254,-70.26916,9
SH_HY_OB,41.64023,-70.26909,10
SH_HY_OB,41.63541,-70.27029,11
SH_HY_OB,41.63148,-70.2716,12
SH_HY_OB,41.62691,-70.27473,13
SH_HY_OB,41.6203,-70.28821,14
SH_HY_OB,41.61748,-70.29036,15
SH_HY_OB,41.61382,-70.29096,16
SH_HY_OB,41.60965,-70.29387,17
SH_HY_OB,41.60464,-70.29851,18
SH_HY_OB,41.50714,-70.46828,19
SH_HY_OB,41.49436,-70.49274,20
SH_HY_OB,41.4587,-70.5545,21
SH_QU_OB,41.58628,-71.41251,1
SH_QU_OB,41.58359,-71.40418,2
SH_QU_OB,41.57986,-71.40006,3
SH_QU_OB,41.57383,-71.3956,4
SH_QU_OB,41.56779,-71.39551,5
SH_QU_OB,41.49339,-71.40615,6
SH_QU_OB,41.44978,-71.4113,7
SH_QU_OB,41.4474,-71.40985,8
SH_QU_OB,41.43737,-71.38247,9
SH_QU_OB,41.39714,-70.95022,10
SH_QU_OB,41.39707,-70.92816,11
SH_QU_OB,41.40023,-70.90096,12
SH_QU_OB,41.40886,-70.86061,13
SH_QU_OB,41.48001,-70.63677,14
SH_QU_OB,41.4849,-70.60844,15
SH_QU_OB,41.48464,-70.58355,16
SH_QU_OB,41.48226,-70.57377,17
SH_QU_OB,41.47648,-70.56587,18
SH_QU_OB,41.46181,-70.55617,19
SH_QU_OB,41.46072,-70.55703,20
SH_QU_OB,41.45957,-70.55858,21
SH_QU_OB,41.45931,-70.55819,22
SH_WH_OB,41.52233,-70.67052,1
SH_WH_OB,41.52181,-70.67112,2
SH_WH_OB,41.52127,-70.67121,3
SH_WH_OB,41.51747,-70.66994,4
SH_WH_OB,41.51375,-70.6667,5
SH_WH_OB,41.50867,-70.65778,6
SH_WH_OB,41.5038,-70.64488,7
SH_WH_OB,41.50202,-70.63782,8
SH_WH_OB,41.4966,-70.61224,9
SH_WH_OB,41.49075,-70.59119,10
SH_WH_OB,41.48316,-70.57231,11
SH_WH_OB,41.47725,-70.5633,12
SH_WH_OB,41.464,-70.55514,13
SH_WH_OB,41.45963,-70.55394,14
SH_WH_OB,41.45903,-70.5542,15
